,bltasid,residentialsf,bsmntsf,bsmntfinsf,garagesf,grossacres,yrblt,salep,SubDivisionCode
2278,8,2282,722,722,420,0.13,2004,480000,41
2279,1,2069,2051,0,864,0.28,2006,640000,-1
2280,8,1577,700,0,506,0.08,2015,655000,35
2281,1,1901,1901,0,420,0.12,2020,480000,-1
2282,68,1380,0,0,399,0.07,2018,385000,-1
2283,8,1730,810,540,400,0.15,2003,560000,-1
2284,68,1132,594,0,200,0.03,1997,320500,-1
2285,19,576,0,0,0,0.0,1974,110000,-1
2286,4,1688,0,0,288,0.16,1974,465000,-1
2287,7,1404,0,0,418,0.14,1982,360000,49
2288,68,1132,594,0,200,0.03,1996,324000,-1
2289,8,2955,1584,0,768,0.23,2006,648000,19
2290,19,1462,0,0,260,0.0,2001,349500,18
2291,20,1119,0,0,0,0.0,2017,613800,-1
2292,69,1601,0,0,556,0.04,2018,445000,-1
2293,61,1115,0,0,604,0.0,2012,320000,51
2294,8,2275,1185,646,503,0.13,2017,579900,7
2295,61,1708,1708,898,484,0.08,2006,625000,21
2296,8,1960,0,0,480,0.08,2005,370000,-1
2297,68,1178,610,410,200,0.02,2000,301653,-1
2298,8,2477,1245,993,768,0.18,1999,610000,-1
2299,8,3023,1336,608,660,0.39,1997,637500,-1
2300,7,1582,440,292,440,0.16,1996,560000,-1
2301,8,1909,978,838,400,0.12,1990,475000,-1
2302,1,1186,0,0,440,0.12,1987,385000,-1
2303,19,1292,0,0,288,0.0,1987,295000,-1
2304,19,761,0,0,0,0.0,1970,178000,-1
2305,19,1008,0,0,0,0.0,1974,209500,-1
2306,7,2083,628,0,528,0.2,1978,522500,-1
2307,7,1640,0,0,1088,0.24,1978,467000,-1
2308,8,2495,0,0,528,0.98,1991,775000,-1
2309,1,1704,0,0,480,0.29,1972,385000,-1
2310,1,1032,0,0,0,0.18,1960,325000,-1
2311,5,1368,0,0,576,0.23,1985,379815,-1
2312,7,2168,0,0,0,0.25,1970,373000,-1
2313,8,1694,624,624,572,0.19,1973,478900,-1
2314,353,2400,0,0,0,0.23,1956,325000,-1
2315,1,1356,0,0,352,0.22,1972,420000,-1
2316,1,1272,0,0,0,0.13,1951,395000,-1
2317,51,956,956,956,272,0.08,1923,585500,-1
2318,8,1278,602,0,440,0.17,1991,435000,-1
2319,61,1518,1518,1350,440,0.1,1998,375000,-1
2320,8,2579,0,0,440,0.15,2002,368000,-1
2321,68,1430,0,0,484,0.0,2020,389529,-1
2322,8,1626,750,0,496,0.13,2006,416000,31
2323,1,2518,2504,2237,778,0.19,2005,1119500,23
2324,61,1917,1847,1847,718,0.24,2015,672000,-1
2325,19,1208,0,0,0,0.0,2019,448000,34
2326,8,1768,862,786,662,0.14,1998,570000,-1
2327,61,1085,0,0,264,0.0,1983,175000,-1
2328,1,848,720,360,306,0.14,1928,476000,-1
2329,1,672,672,672,360,0.14,1927,488000,-1
2330,1,1123,0,0,276,0.11,1910,467000,-1
2331,15,1904,0,0,0,0.0,2012,123900,-1
2332,8,1987,0,0,518,0.19,1977,587000,-1
2333,4,1602,0,0,546,0.21,1978,445000,-1
2334,61,1150,1142,0,528,0.11,1979,300000,-1
